encodings,"(1, 2, 3)","(1, 1, 1, 4)","(1, 1, 1, 1, 1, 2)","(1,)","(1, 1, 1, 1, 3)","(2, 2)","(3,)","(1, 1, 5)","(1, 3)","(1, 1, 2)","(1, 4)","(5,)","(1, 2, 2)","(3, 3)","(3, 4)","(6,)","(1, 1, 1, 1, 1)","(1, 1, 1, 2, 2)","(1, 1, 1)","(1, 1)","(1, 1, 1, 1)","(4,)","(1, 2)","(2, 5)","(1, 1, 1, 1, 1, 1)","(1, 6)","(2, 2, 3)","(7,)","(1, 1, 2, 3)","(2,)","(1, 1, 2, 2)","(1, 3, 3)","(1, 2, 2, 2)","(1, 5)","(1, 1, 1, 3)","(1, 1, 1, 1, 2)","(2, 3)","(1, 1, 4)","(2, 4)","(1, 1, 1, 2)","(1, 1, 3)","(1, 1, 1, 1, 1, 1, 1)","(1, 2, 4)","(2, 2, 2)"
"[0, 0, 0, 0, 0, 0, 0]",0,0,,7,,0,210,0,0,0,0,2520,0,0,0,5040,,,0,0,0,840,0,0,,0,0,5040,0,42,0,0,0,0,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 1]",0,0,,7,,0,210,0,0,0,0,2520,0,0,0,5040,,,0,0,0,840,0,0,,0,0,5040,0,42,0,0,0,0,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 2]",0,0,,7,,0,195,0,20,0,60,2220,0,0,0,4320,,,0,2,0,760,5,0,,120,0,4200,0,40,0,0,0,120,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 3]",0,0,,7,,0,180,0,40,0,120,1920,0,0,0,3600,,,0,4,0,680,10,0,,240,0,3360,0,38,0,0,0,240,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 4]",0,0,,7,,0,165,0,60,0,180,1620,0,0,0,2880,,,0,6,0,600,15,0,,360,0,2520,0,36,0,0,0,360,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 5]",0,0,,7,,0,150,0,80,0,240,1320,0,0,0,2160,,,0,8,0,520,20,0,,480,0,1680,0,34,0,0,0,480,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 0, 6]",0,0,,7,,0,135,0,100,0,300,1020,0,0,0,1440,,,0,10,0,440,25,0,,600,0,840,0,32,0,0,0,600,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 1, 1]",0,0,,7,,0,210,0,0,0,0,2520,0,0,0,5040,,,0,0,0,840,0,0,,0,0,5040,0,42,0,0,0,0,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 1, 2]",0,0,,7,,0,195,0,20,0,60,2220,0,0,0,4320,,,0,2,0,760,5,0,,120,0,4200,0,40,0,0,0,120,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 1, 3]",0,0,,7,,0,180,0,40,0,120,1920,0,0,0,3600,,,0,4,0,680,10,0,,240,0,3360,0,38,0,0,0,240,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 1, 4]",0,0,,7,,0,165,0,60,0,180,1620,0,0,0,2880,,,0,6,0,600,15,0,,360,0,2520,0,36,0,0,0,360,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 1, 5]",0,0,,7,,0,150,0,80,0,240,1320,0,0,0,2160,,,0,8,0,520,20,0,,480,0,1680,0,34,0,0,0,480,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 1, 6]",0,0,,7,,0,135,0,100,0,300,1020,0,0,0,1440,,,0,10,0,440,25,0,,600,0,840,0,32,0,0,0,600,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 2, 2]",0,0,,7,,0,180,0,40,0,120,1920,0,0,0,3600,,,0,4,0,680,10,0,,240,0,3360,0,38,0,0,0,240,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 0, 2, 3]",0,0,,7,,4,165,0,56,0,162,1650,0,0,0,2988,,,0,6,0,604,15,12,,300,0,2688,0,36,0,0,0,312,0,,6,0,12,0,0,,0,0
"[0, 0, 0, 0, 0, 2, 4]",0,0,,7,,8,150,0,72,0,204,1380,0,0,0,2376,,,0,8,0,528,20,24,,360,0,2016,0,34,0,0,0,384,0,,12,0,24,0,0,,0,0
"[0, 0, 0, 0, 0, 2, 5]",0,0,,7,,12,135,0,88,0,246,1110,0,0,0,1764,,,0,10,0,452,25,36,,420,0,1344,0,32,0,0,0,456,0,,18,0,36,0,0,,0,0
"[0, 0, 0, 0, 0, 2, 6]",0,0,,7,,16,120,0,104,0,288,840,0,0,0,1152,,,0,12,0,376,30,48,,480,0,672,0,30,0,0,0,528,0,,24,0,48,0,0,,0,0
"[0, 0, 0, 0, 0, 3, 3]",0,0,,7,,8,150,0,72,0,204,1380,0,0,0,2376,,,0,8,0,528,20,24,,360,0,2016,0,34,0,0,0,384,0,,12,0,24,0,0,,0,0
"[0, 0, 0, 0, 0, 3, 4]",0,0,,7,,16,135,0,84,0,228,1140,0,0,0,1872,,,0,10,0,456,25,48,,360,0,1512,0,32,0,0,0,408,0,,24,0,48,0,0,,0,0
"[0, 0, 0, 0, 0, 3, 5]",0,0,,7,,24,120,0,96,0,252,900,0,0,0,1368,,,0,12,0,384,30,72,,360,0,1008,0,30,0,0,0,432,0,,36,0,72,0,0,,0,0
"[0, 0, 0, 0, 0, 3, 6]",0,0,,7,,32,105,0,108,0,276,660,0,0,0,864,,,0,14,0,312,35,96,,360,0,504,0,28,0,0,0,456,0,,48,0,96,0,0,,0,0
"[0, 0, 0, 0, 0, 4, 4]",0,0,,7,,24,120,0,96,0,252,900,0,0,0,1368,,,0,12,0,384,30,72,,360,0,1008,0,30,0,0,0,432,0,,36,0,72,0,0,,0,0
"[0, 0, 0, 0, 0, 4, 5]",0,0,,7,,36,105,0,104,0,258,690,0,0,0,972,,,0,14,0,316,35,108,,300,0,672,0,28,0,0,0,408,0,,54,0,108,0,0,,0,0
"[0, 0, 0, 0, 0, 4, 6]",0,0,,7,,48,90,0,112,0,264,480,0,0,0,576,,,0,16,0,248,40,144,,240,0,336,0,26,0,0,0,384,0,,72,0,144,0,0,,0,0
"[0, 0, 0, 0, 0, 5, 5]",0,0,,7,,48,90,0,112,0,264,480,0,0,0,576,,,0,16,0,248,40,144,,240,0,336,0,26,0,0,0,384,0,,72,0,144,0,0,,0,0
"[0, 0, 0, 0, 0, 5, 6]",0,0,,7,,64,75,0,116,0,252,300,0,0,0,288,,,0,18,0,184,45,192,,120,0,168,0,24,0,0,0,312,0,,96,0,192,0,0,,0,0
"[0, 0, 0, 0, 1, 1, 1]",0,0,,7,,0,210,0,0,0,0,2520,0,0,0,5040,,,0,0,0,840,0,0,,0,0,5040,0,42,0,0,0,0,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 1, 1, 2]",0,0,,7,,0,195,0,20,0,60,2220,0,0,0,4320,,,0,2,0,760,5,0,,120,0,4200,0,40,0,0,0,120,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 1, 1, 3]",0,0,,7,,0,180,0,40,0,120,1920,0,0,0,3600,,,0,4,0,680,10,0,,240,0,3360,0,38,0,0,0,240,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 1, 1, 4]",0,0,,7,,0,165,0,60,0,180,1620,0,0,0,2880,,,0,6,0,600,15,0,,360,0,2520,0,36,0,0,0,360,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 1, 1, 5]",0,0,,7,,0,150,0,80,0,240,1320,0,0,0,2160,,,0,8,0,520,20,0,,480,0,1680,0,34,0,0,0,480,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 1, 1, 6]",0,0,,7,,0,135,0,100,0,300,1020,0,0,0,1440,,,0,10,0,440,25,0,,600,0,840,0,32,0,0,0,600,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 1, 2, 2]",0,0,,7,,0,180,0,40,0,120,1920,0,0,0,3600,,,0,4,0,680,10,0,,240,0,3360,0,38,0,0,0,240,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 1, 2, 3]",0,0,,7,,4,165,0,56,0,162,1650,0,0,0,2988,,,0,6,0,604,15,12,,300,0,2688,0,36,0,0,0,312,0,,6,0,12,0,0,,0,0
"[0, 0, 0, 0, 1, 2, 4]",0,0,,7,,8,150,0,72,0,204,1380,0,0,0,2376,,,0,8,0,528,20,24,,360,0,2016,0,34,0,0,0,384,0,,12,0,24,0,0,,0,0
"[0, 0, 0, 0, 1, 2, 5]",0,0,,7,,12,135,0,88,0,246,1110,0,0,0,1764,,,0,10,0,452,25,36,,420,0,1344,0,32,0,0,0,456,0,,18,0,36,0,0,,0,0
"[0, 0, 0, 0, 1, 2, 6]",0,0,,7,,16,120,0,104,0,288,840,0,0,0,1152,,,0,12,0,376,30,48,,480,0,672,0,30,0,0,0,528,0,,24,0,48,0,0,,0,0
"[0, 0, 0, 0, 1, 3, 3]",0,0,,7,,8,150,0,72,0,204,1380,0,0,0,2376,,,0,8,0,528,20,24,,360,0,2016,0,34,0,0,0,384,0,,12,0,24,0,0,,0,0
"[0, 0, 0, 0, 1, 3, 4]",0,0,,7,,16,135,0,84,0,228,1140,0,0,0,1872,,,0,10,0,456,25,48,,360,0,1512,0,32,0,0,0,408,0,,24,0,48,0,0,,0,0
"[0, 0, 0, 0, 1, 3, 5]",0,0,,7,,24,120,0,96,0,252,900,0,0,0,1368,,,0,12,0,384,30,72,,360,0,1008,0,30,0,0,0,432,0,,36,0,72,0,0,,0,0
"[0, 0, 0, 0, 1, 3, 6]",0,0,,7,,32,105,0,108,0,276,660,0,0,0,864,,,0,14,0,312,35,96,,360,0,504,0,28,0,0,0,456,0,,48,0,96,0,0,,0,0
"[0, 0, 0, 0, 1, 4, 4]",0,0,,7,,24,120,0,96,0,252,900,0,0,0,1368,,,0,12,0,384,30,72,,360,0,1008,0,30,0,0,0,432,0,,36,0,72,0,0,,0,0
"[0, 0, 0, 0, 1, 4, 5]",0,0,,7,,36,105,0,104,0,258,690,0,0,0,972,,,0,14,0,316,35,108,,300,0,672,0,28,0,0,0,408,0,,54,0,108,0,0,,0,0
"[0, 0, 0, 0, 1, 4, 6]",0,0,,7,,48,90,0,112,0,264,480,0,0,0,576,,,0,16,0,248,40,144,,240,0,336,0,26,0,0,0,384,0,,72,0,144,0,0,,0,0
"[0, 0, 0, 0, 1, 5, 5]",0,0,,7,,48,90,0,112,0,264,480,0,0,0,576,,,0,16,0,248,40,144,,240,0,336,0,26,0,0,0,384,0,,72,0,144,0,0,,0,0
"[0, 0, 0, 0, 1, 5, 6]",0,0,,7,,64,75,0,116,0,252,300,0,0,0,288,,,0,18,0,184,45,192,,120,0,168,0,24,0,0,0,312,0,,96,0,192,0,0,,0,0
"[0, 0, 0, 0, 2, 2, 2]",0,0,,7,,0,165,0,60,0,180,1620,0,0,0,2880,,,0,6,0,600,15,0,,360,0,2520,0,36,0,0,0,360,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 0, 2, 2, 3]",0,0,,7,,8,150,0,72,0,204,1380,0,0,0,2376,,,0,8,0,528,20,24,,360,0,2016,0,34,0,0,0,384,0,,12,0,24,0,0,,0,0
"[0, 0, 0, 0, 2, 2, 4]",0,0,,7,,16,135,0,84,0,228,1140,0,0,0,1872,,,0,10,0,456,25,48,,360,0,1512,0,32,0,0,0,408,0,,24,0,48,0,0,,0,0
"[0, 0, 0, 0, 2, 2, 5]",0,0,,7,,24,120,0,96,0,252,900,0,0,0,1368,,,0,12,0,384,30,72,,360,0,1008,0,30,0,0,0,432,0,,36,0,72,0,0,,0,0
"[0, 0, 0, 0, 2, 2, 6]",0,0,,7,,12,108,48,108,8,282,690,0,0,0,900,,,6,14,0,324,32,36,,396,0,504,0,28,0,0,0,480,0,,18,48,36,0,24,,0,0
"[0, 0, 0, 0, 2, 3, 3]",0,0,,7,,16,135,0,84,0,228,1140,0,0,0,1872,,,0,10,0,456,25,48,,360,0,1512,0,32,0,0,0,408,0,,24,0,48,0,0,,0,0
"[0, 0, 0, 0, 2, 3, 4]",0,0,,7,,28,120,0,92,0,234,930,0,12,6,1464,,,0,12,0,388,30,66,,330,0,1134,0,30,0,0,0,396,0,,42,0,72,0,0,,0,0
"[0, 0, 0, 0, 2, 3, 5]",0,0,,7,,40,105,0,100,0,240,720,0,24,12,1056,,,0,14,0,320,35,84,,300,0,756,0,28,0,0,0,384,0,,60,0,96,0,0,,0,0
"[0, 0, 0, 0, 2, 3, 6]",2,0,,7,,32,93,32,108,8,257,535,2,12,6,672,,,6,16,0,264,37,72,,294,0,378,0,26,0,0,0,398,0,,47,36,80,0,20,,2,0
"[0, 0, 0, 0, 2, 4, 4]",0,0,,7,,40,105,0,100,0,240,720,0,24,12,1056,,,0,14,0,320,35,84,,300,0,756,0,28,0,0,0,384,0,,60,0,96,0,0,,0,0
"[0, 0, 0, 0, 2, 4, 5]",0,0,,7,,56,90,0,104,0,228,540,0,48,24,744,,,0,16,0,256,40,96,,240,0,504,0,26,0,0,0,336,0,,84,0,120,0,0,,0,0
"[0, 0, 0, 0, 2, 4, 6]",4,0,,7,,52,78,16,108,8,232,380,4,24,12,444,,,6,18,0,204,42,108,,192,0,252,0,24,0,0,0,316,0,,76,24,124,0,16,,4,0
"[0, 0, 0, 0, 2, 5, 5]",0,0,,7,,72,75,0,108,0,216,360,0,72,36,432,,,0,18,0,192,45,108,,180,0,252,0,24,0,0,0,288,0,,108,0,144,0,0,,0,0
"[0, 0, 0, 0, 2, 5, 6]",6,0,,7,,72,63,0,108,8,207,225,6,36,18,216,,,6,20,0,144,47,144,,90,0,126,0,22,0,0,0,234,0,,105,12,168,0,12,,6,0
"[0, 0, 0, 0, 3, 3, 3]",0,0,,7,,24,120,0,96,0,252,900,0,0,0,1368,,,0,12,0,384,30,72,,360,0,1008,0,30,0,0,0,432,0,,36,0,72,0,0,,0,0
"[0, 0, 0, 0, 3, 3, 4]",0,0,,7,,40,105,0,100,0,240,720,0,24,12,1056,,,0,14,0,320,35,84,,300,0,756,0,28,0,0,0,384,0,,60,0,96,0,0,,0,0
"[0, 0, 0, 0, 3, 3, 5]",0,0,,7,,56,90,0,104,0,228,540,0,48,24,744,,,0,16,0,256,40,96,,240,0,504,0,26,0,0,0,336,0,,84,0,120,0,0,,0,0
"[0, 0, 0, 0, 3, 3, 6]",4,0,,7,,32,81,64,108,16,238,410,4,24,12,480,,,12,18,0,216,39,48,,228,0,252,0,24,0,0,0,340,0,,46,72,64,0,40,,4,0
"[0, 0, 0, 0, 3, 4, 4]",0,0,,7,,56,90,0,104,0,228,540,0,48,24,744,,,0,16,0,256,40,96,,240,0,504,0,26,0,0,0,336,0,,84,0,120,0,0,,0,0
"[0, 0, 0, 0, 3, 4, 5]",0,0,,7,,76,75,0,104,0,198,390,0,96,48,516,,,0,18,0,196,45,84,,180,0,336,0,24,0,0,0,264,0,,114,0,132,0,0,,0,0
"[0, 0, 0, 0, 3, 4, 6]",8,0,,7,,56,66,32,104,16,200,280,8,48,24,312,,,12,20,0,160,44,72,,144,0,168,0,22,0,0,0,248,0,,80,48,104,0,32,,8,0
"[0, 0, 0, 0, 3, 5, 5]",0,0,,7,,96,60,0,104,0,168,240,0,144,72,288,,,0,20,0,136,50,72,,120,0,168,0,22,0,0,0,192,0,,144,0,144,0,0,,0,0
"[0, 0, 0, 0, 3, 5, 6]",12,0,,7,,80,51,0,100,16,162,150,12,72,36,144,,,12,22,0,104,49,96,,60,0,84,0,20,0,0,0,156,0,,114,24,144,0,24,,12,0
"[0, 0, 0, 0, 4, 4, 4]",0,0,,7,,72,75,0,108,0,216,360,0,72,36,432,,,0,18,0,192,45,108,,180,0,252,0,24,0,0,0,288,0,,108,0,144,0,0,,0,0
"[0, 0, 0, 0, 4, 4, 5]",0,0,,7,,96,60,0,104,0,168,240,0,144,72,288,,,0,20,0,136,50,72,,120,0,168,0,22,0,0,0,192,0,,144,0,144,0,0,,0,0
"[0, 0, 0, 0, 4, 4, 6]",12,0,,7,,60,54,48,100,24,168,180,12,72,36,180,,,18,22,0,116,46,36,,96,0,84,0,20,0,0,0,180,0,,84,72,84,0,48,,12,0
"[0, 0, 0, 0, 4, 5, 5]",0,0,,7,,120,45,0,100,0,120,120,0,216,108,144,,,0,22,0,80,55,36,,60,0,84,0,20,0,0,0,96,0,,180,0,144,0,0,,0,0
"[0, 0, 0, 0, 4, 5, 6]",18,0,,7,,88,39,0,92,24,117,75,18,108,54,72,,,18,24,0,64,51,48,,30,0,42,0,18,0,0,0,78,0,,123,36,120,0,36,,18,0
"[0, 0, 0, 1, 1, 1, 1]",0,0,,7,,0,210,0,0,0,0,2520,0,0,0,5040,,,0,0,0,840,0,0,,0,0,5040,0,42,0,0,0,0,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 1, 1, 1, 2]",0,0,,7,,0,195,0,20,0,60,2220,0,0,0,4320,,,0,2,0,760,5,0,,120,0,4200,0,40,0,0,0,120,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 1, 1, 1, 3]",0,0,,7,,0,180,0,40,0,120,1920,0,0,0,3600,,,0,4,0,680,10,0,,240,0,3360,0,38,0,0,0,240,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 1, 1, 1, 4]",0,0,,7,,0,165,0,60,0,180,1620,0,0,0,2880,,,0,6,0,600,15,0,,360,0,2520,0,36,0,0,0,360,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 1, 1, 1, 5]",0,0,,7,,0,150,0,80,0,240,1320,0,0,0,2160,,,0,8,0,520,20,0,,480,0,1680,0,34,0,0,0,480,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 1, 1, 1, 6]",0,0,,7,,0,135,0,100,0,300,1020,0,0,0,1440,,,0,10,0,440,25,0,,600,0,840,0,32,0,0,0,600,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 1, 1, 2, 2]",0,0,,7,,0,180,0,40,0,120,1920,0,0,0,3600,,,0,4,0,680,10,0,,240,0,3360,0,38,0,0,0,240,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 1, 1, 2, 3]",0,0,,7,,4,165,0,56,0,162,1650,0,0,0,2988,,,0,6,0,604,15,12,,300,0,2688,0,36,0,0,0,312,0,,6,0,12,0,0,,0,0
"[0, 0, 0, 1, 1, 2, 4]",0,0,,7,,8,150,0,72,0,204,1380,0,0,0,2376,,,0,8,0,528,20,24,,360,0,2016,0,34,0,0,0,384,0,,12,0,24,0,0,,0,0
"[0, 0, 0, 1, 1, 2, 5]",0,0,,7,,12,135,0,88,0,246,1110,0,0,0,1764,,,0,10,0,452,25,36,,420,0,1344,0,32,0,0,0,456,0,,18,0,36,0,0,,0,0
"[0, 0, 0, 1, 1, 2, 6]",0,0,,7,,16,120,0,104,0,288,840,0,0,0,1152,,,0,12,0,376,30,48,,480,0,672,0,30,0,0,0,528,0,,24,0,48,0,0,,0,0
"[0, 0, 0, 1, 1, 3, 3]",0,0,,7,,8,150,0,72,0,204,1380,0,0,0,2376,,,0,8,0,528,20,24,,360,0,2016,0,34,0,0,0,384,0,,12,0,24,0,0,,0,0
"[0, 0, 0, 1, 1, 3, 4]",0,0,,7,,16,135,0,84,0,228,1140,0,0,0,1872,,,0,10,0,456,25,48,,360,0,1512,0,32,0,0,0,408,0,,24,0,48,0,0,,0,0
"[0, 0, 0, 1, 1, 3, 5]",0,0,,7,,24,120,0,96,0,252,900,0,0,0,1368,,,0,12,0,384,30,72,,360,0,1008,0,30,0,0,0,432,0,,36,0,72,0,0,,0,0
"[0, 0, 0, 1, 1, 3, 6]",0,0,,7,,32,105,0,108,0,276,660,0,0,0,864,,,0,14,0,312,35,96,,360,0,504,0,28,0,0,0,456,0,,48,0,96,0,0,,0,0
"[0, 0, 0, 1, 1, 4, 4]",0,0,,7,,24,120,0,96,0,252,900,0,0,0,1368,,,0,12,0,384,30,72,,360,0,1008,0,30,0,0,0,432,0,,36,0,72,0,0,,0,0
"[0, 0, 0, 1, 1, 4, 5]",0,0,,7,,36,105,0,104,0,258,690,0,0,0,972,,,0,14,0,316,35,108,,300,0,672,0,28,0,0,0,408,0,,54,0,108,0,0,,0,0
"[0, 0, 0, 1, 1, 4, 6]",0,0,,7,,48,90,0,112,0,264,480,0,0,0,576,,,0,16,0,248,40,144,,240,0,336,0,26,0,0,0,384,0,,72,0,144,0,0,,0,0
"[0, 0, 0, 1, 1, 5, 5]",0,0,,7,,48,90,0,112,0,264,480,0,0,0,576,,,0,16,0,248,40,144,,240,0,336,0,26,0,0,0,384,0,,72,0,144,0,0,,0,0
"[0, 0, 0, 1, 1, 5, 6]",0,0,,7,,64,75,0,116,0,252,300,0,0,0,288,,,0,18,0,184,45,192,,120,0,168,0,24,0,0,0,312,0,,96,0,192,0,0,,0,0
"[0, 0, 0, 1, 2, 2, 2]",0,0,,7,,0,165,0,60,0,180,1620,0,0,0,2880,,,0,6,0,600,15,0,,360,0,2520,0,36,0,0,0,360,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 1, 2, 2, 3]",0,0,,7,,8,150,0,72,0,204,1380,0,0,0,2376,,,0,8,0,528,20,24,,360,0,2016,0,34,0,0,0,384,0,,12,0,24,0,0,,0,0
"[0, 0, 0, 1, 2, 2, 4]",0,0,,7,,16,135,0,84,0,228,1140,0,0,0,1872,,,0,10,0,456,25,48,,360,0,1512,0,32,0,0,0,408,0,,24,0,48,0,0,,0,0
"[0, 0, 0, 1, 2, 2, 5]",0,0,,7,,24,120,0,96,0,252,900,0,0,0,1368,,,0,12,0,384,30,72,,360,0,1008,0,30,0,0,0,432,0,,36,0,72,0,0,,0,0
"[0, 0, 0, 1, 2, 2, 6]",0,0,,7,,12,108,48,108,8,282,690,0,0,0,900,,,6,14,0,324,32,36,,396,0,504,0,28,0,0,0,480,0,,18,48,36,0,24,,0,0
"[0, 0, 0, 1, 2, 3, 3]",0,0,,7,,16,135,0,84,0,228,1140,0,0,0,1872,,,0,10,0,456,25,48,,360,0,1512,0,32,0,0,0,408,0,,24,0,48,0,0,,0,0
"[0, 0, 0, 1, 2, 3, 4]",0,0,,7,,28,120,0,92,0,234,930,0,12,6,1464,,,0,12,0,388,30,66,,330,0,1134,0,30,0,0,0,396,0,,42,0,72,0,0,,0,0
"[0, 0, 0, 1, 2, 3, 5]",0,0,,7,,40,105,0,100,0,240,720,0,24,12,1056,,,0,14,0,320,35,84,,300,0,756,0,28,0,0,0,384,0,,60,0,96,0,0,,0,0
"[0, 0, 0, 1, 2, 3, 6]",2,0,,7,,32,93,32,108,8,257,535,2,12,6,672,,,6,16,0,264,37,72,,294,0,378,0,26,0,0,0,398,0,,47,36,80,0,20,,2,0
"[0, 0, 0, 1, 2, 4, 4]",0,0,,7,,40,105,0,100,0,240,720,0,24,12,1056,,,0,14,0,320,35,84,,300,0,756,0,28,0,0,0,384,0,,60,0,96,0,0,,0,0
"[0, 0, 0, 1, 2, 4, 5]",0,0,,7,,56,90,0,104,0,228,540,0,48,24,744,,,0,16,0,256,40,96,,240,0,504,0,26,0,0,0,336,0,,84,0,120,0,0,,0,0
"[0, 0, 0, 1, 2, 4, 6]",4,0,,7,,52,78,16,108,8,232,380,4,24,12,444,,,6,18,0,204,42,108,,192,0,252,0,24,0,0,0,316,0,,76,24,124,0,16,,4,0
"[0, 0, 0, 1, 2, 5, 5]",0,0,,7,,72,75,0,108,0,216,360,0,72,36,432,,,0,18,0,192,45,108,,180,0,252,0,24,0,0,0,288,0,,108,0,144,0,0,,0,0
"[0, 0, 0, 1, 2, 5, 6]",6,0,,7,,72,63,0,108,8,207,225,6,36,18,216,,,6,20,0,144,47,144,,90,0,126,0,22,0,0,0,234,0,,105,12,168,0,12,,6,0
"[0, 0, 0, 1, 3, 3, 3]",0,0,,7,,24,120,0,96,0,252,900,0,0,0,1368,,,0,12,0,384,30,72,,360,0,1008,0,30,0,0,0,432,0,,36,0,72,0,0,,0,0
"[0, 0, 0, 1, 3, 3, 4]",0,0,,7,,40,105,0,100,0,240,720,0,24,12,1056,,,0,14,0,320,35,84,,300,0,756,0,28,0,0,0,384,0,,60,0,96,0,0,,0,0
"[0, 0, 0, 1, 3, 3, 5]",0,0,,7,,56,90,0,104,0,228,540,0,48,24,744,,,0,16,0,256,40,96,,240,0,504,0,26,0,0,0,336,0,,84,0,120,0,0,,0,0
"[0, 0, 0, 1, 3, 3, 6]",4,0,,7,,32,81,64,108,16,238,410,4,24,12,480,,,12,18,0,216,39,48,,228,0,252,0,24,0,0,0,340,0,,46,72,64,0,40,,4,0
"[0, 0, 0, 1, 3, 4, 4]",0,0,,7,,56,90,0,104,0,228,540,0,48,24,744,,,0,16,0,256,40,96,,240,0,504,0,26,0,0,0,336,0,,84,0,120,0,0,,0,0
"[0, 0, 0, 1, 3, 4, 5]",0,0,,7,,76,75,0,104,0,198,390,0,96,48,516,,,0,18,0,196,45,84,,180,0,336,0,24,0,0,0,264,0,,114,0,132,0,0,,0,0
"[0, 0, 0, 1, 3, 4, 6]",8,0,,7,,56,66,32,104,16,200,280,8,48,24,312,,,12,20,0,160,44,72,,144,0,168,0,22,0,0,0,248,0,,80,48,104,0,32,,8,0
"[0, 0, 0, 1, 3, 5, 5]",0,0,,7,,96,60,0,104,0,168,240,0,144,72,288,,,0,20,0,136,50,72,,120,0,168,0,22,0,0,0,192,0,,144,0,144,0,0,,0,0
"[0, 0, 0, 1, 3, 5, 6]",12,0,,7,,80,51,0,100,16,162,150,12,72,36,144,,,12,22,0,104,49,96,,60,0,84,0,20,0,0,0,156,0,,114,24,144,0,24,,12,0
"[0, 0, 0, 1, 4, 4, 4]",0,0,,7,,72,75,0,108,0,216,360,0,72,36,432,,,0,18,0,192,45,108,,180,0,252,0,24,0,0,0,288,0,,108,0,144,0,0,,0,0
"[0, 0, 0, 1, 4, 4, 5]",0,0,,7,,96,60,0,104,0,168,240,0,144,72,288,,,0,20,0,136,50,72,,120,0,168,0,22,0,0,0,192,0,,144,0,144,0,0,,0,0
"[0, 0, 0, 1, 4, 4, 6]",12,0,,7,,60,54,48,100,24,168,180,12,72,36,180,,,18,22,0,116,46,36,,96,0,84,0,20,0,0,0,180,0,,84,72,84,0,48,,12,0
"[0, 0, 0, 1, 4, 5, 5]",0,0,,7,,120,45,0,100,0,120,120,0,216,108,144,,,0,22,0,80,55,36,,60,0,84,0,20,0,0,0,96,0,,180,0,144,0,0,,0,0
"[0, 0, 0, 1, 4, 5, 6]",18,0,,7,,88,39,0,92,24,117,75,18,108,54,72,,,18,24,0,64,51,48,,30,0,42,0,18,0,0,0,78,0,,123,36,120,0,36,,18,0
"[0, 0, 0, 2, 2, 2, 2]",0,0,,7,,0,150,0,80,0,240,1320,0,0,0,2160,,,0,8,0,520,20,0,,480,0,1680,0,34,0,0,0,480,0,,0,0,0,0,0,,0,0
"[0, 0, 0, 2, 2, 2, 3]",0,0,,7,,12,135,0,88,0,246,1110,0,0,0,1764,,,0,10,0,452,25,36,,420,0,1344,0,32,0,0,0,456,0,,18,0,36,0,0,,0,0
"[0, 0, 0, 2, 2, 2, 4]",0,0,,7,,24,120,0,96,0,252,900,0,0,0,1368,,,0,12,0,384,30,72,,360,0,1008,0,30,0,0,0,432,0,,36,0,72,0,0,,0,0
"[0, 0, 0, 2, 2, 2, 5]",0,0,,7,,16,108,48,104,8,264,720,0,0,0,1008,,,6,14,0,328,32,48,,336,0,672,0,28,0,0,0,432,0,,24,48,48,0,24,,0,0
"[0, 0, 0, 2, 2, 2, 6]",0,0,,7,,8,96,96,112,16,276,540,0,0,0,648,,,12,16,0,272,34,24,,312,0,336,0,26,0,0,0,432,0,,12,96,24,0,48,,0,0
