encodings,"(4,)","(1, 2)","(2,)","(1, 3)","(1, 1, 2)","(1, 2, 3)","(1, 4)","(1, 1, 2, 2)","(5,)","(1, 2, 2)","(3, 3)","(1, 1, 1, 1, 1, 1)","(1,)","(1, 5)","(6,)","(1, 1, 1, 3)","(1, 1, 1, 1, 1)","(2, 2)","(1, 1, 1, 1, 2)","(3,)","(2, 3)","(1, 1, 4)","(2, 4)","(1, 1, 1)","(1, 1)","(1, 1, 1, 2)","(1, 1, 1, 1)","(1, 1, 3)","(2, 2, 2)"
"[0, 0, 1, 3, 3, 5]",48,26,14,42,12,2,46,0,50,4,12,,6,26,24,0,,24,,30,22,12,8,12,16,0,0,16,0
"[0, 0, 1, 3, 4, 4]",32,32,14,40,0,0,24,0,40,0,48,,6,16,24,0,,56,,24,56,0,8,0,16,0,0,0,0
"[0, 0, 1, 3, 4, 5]",20,30,12,34,12,4,20,0,20,8,24,,6,8,12,0,,44,,18,40,0,12,12,18,0,0,8,0
"[0, 0, 2, 2, 2, 2]",168,16,22,48,0,0,96,0,240,0,0,,6,96,144,0,,0,,72,0,0,0,0,8,0,0,0,0
"[0, 0, 2, 2, 2, 3]",132,20,20,48,0,0,84,0,180,0,0,,6,72,108,0,,12,,60,12,0,12,0,10,0,0,0,0
"[0, 0, 2, 2, 2, 4]",104,21,18,49,6,0,78,0,130,0,0,,6,58,72,0,,8,,51,8,12,8,6,12,0,0,12,0
"[0, 0, 2, 2, 2, 5]",76,22,16,50,12,0,72,0,80,0,0,,6,44,36,0,,4,,42,4,24,4,12,14,0,0,24,0
"[0, 0, 2, 2, 3, 3]",96,24,18,48,0,0,72,0,120,0,0,,6,48,72,0,,24,,48,24,0,24,0,12,0,0,0,0
"[0, 0, 2, 2, 3, 4]",72,25,16,45,6,1,59,0,85,2,6,,6,37,48,0,,24,,39,23,6,16,6,14,0,0,8,0
"[0, 0, 2, 2, 3, 5]",48,26,14,42,12,2,46,0,50,4,12,,6,26,24,0,,24,,30,22,12,8,12,16,0,0,16,0
"[0, 0, 2, 2, 4, 4]",48,26,14,42,12,2,46,0,50,4,12,,6,26,24,0,,24,,30,22,12,8,12,16,0,0,16,0
"[0, 0, 2, 2, 4, 5]",28,27,12,35,18,5,31,0,25,10,6,,6,13,12,0,,28,,21,23,6,12,18,18,0,0,16,0
"[0, 0, 2, 3, 3, 3]",60,28,16,48,0,0,60,0,60,0,0,,6,24,36,0,,36,,36,36,0,36,0,14,0,0,0,0
"[0, 0, 2, 3, 3, 4]",40,29,14,41,6,2,40,0,40,4,12,,6,16,24,0,,40,,27,38,0,24,6,16,0,0,4,0
"[0, 0, 2, 3, 3, 5]",28,27,12,35,18,5,31,0,25,10,6,,6,13,12,0,,28,,21,23,6,12,18,18,0,0,16,0
"[0, 0, 2, 3, 4, 4]",20,30,12,34,12,4,20,0,20,8,24,,6,8,12,0,,44,,18,40,0,12,12,18,0,0,8,0
"[0, 0, 2, 3, 4, 5]",12,28,10,24,24,4,14,0,10,20,12,,6,4,6,0,,36,,12,26,0,10,24,20,0,0,8,12
"[0, 1, 1, 1, 1, 1]",360,0,30,0,0,0,0,0,720,0,0,,6,0,720,0,,0,,120,0,0,0,0,0,0,0,0,0
"[0, 1, 1, 1, 1, 2]",312,4,28,12,0,0,24,0,600,0,0,,6,24,576,0,,0,,108,0,0,0,0,2,0,0,0,0
"[0, 1, 1, 1, 1, 3]",264,8,26,24,0,0,48,0,480,0,0,,6,48,432,0,,0,,96,0,0,0,0,4,0,0,0,0
"[0, 1, 1, 1, 1, 4]",216,12,24,36,0,0,72,0,360,0,0,,6,72,288,0,,0,,84,0,0,0,0,6,0,0,0,0
"[0, 1, 1, 1, 1, 5]",168,16,22,48,0,0,96,0,240,0,0,,6,96,144,0,,0,,72,0,0,0,0,8,0,0,0,0
"[0, 1, 1, 1, 2, 2]",264,8,26,24,0,0,48,0,480,0,0,,6,48,432,0,,0,,96,0,0,0,0,4,0,0,0,0
"[0, 1, 1, 1, 2, 3]",220,12,24,32,0,0,60,0,380,0,0,,6,56,324,0,,4,,84,4,0,4,0,6,0,0,0,0
"[0, 1, 1, 1, 2, 4]",176,16,22,40,0,0,72,0,280,0,0,,6,64,216,0,,8,,72,8,0,8,0,8,0,0,0,0
"[0, 1, 1, 1, 2, 5]",132,20,20,48,0,0,84,0,180,0,0,,6,72,108,0,,12,,60,12,0,12,0,10,0,0,0,0
"[0, 1, 1, 1, 3, 3]",176,16,22,40,0,0,72,0,280,0,0,,6,64,216,0,,8,,72,8,0,8,0,8,0,0,0,0
"[0, 1, 1, 1, 3, 4]",136,20,20,44,0,0,72,0,200,0,0,,6,56,144,0,,16,,60,16,0,16,0,10,0,0,0,0
"[0, 1, 1, 1, 3, 5]",96,24,18,48,0,0,72,0,120,0,0,,6,48,72,0,,24,,48,24,0,24,0,12,0,0,0,0
"[0, 1, 1, 1, 4, 4]",96,24,18,48,0,0,72,0,120,0,0,,6,48,72,0,,24,,48,24,0,24,0,12,0,0,0,0
"[0, 1, 1, 1, 4, 5]",60,28,16,48,0,0,60,0,60,0,0,,6,24,36,0,,36,,36,36,0,36,0,14,0,0,0,0
"[0, 1, 1, 2, 2, 2]",216,12,24,36,0,0,72,0,360,0,0,,6,72,288,0,,0,,84,0,0,0,0,6,0,0,0,0
"[0, 1, 1, 2, 2, 3]",176,16,22,40,0,0,72,0,280,0,0,,6,64,216,0,,8,,72,8,0,8,0,8,0,0,0,0
"[0, 1, 1, 2, 2, 4]",136,20,20,44,0,0,72,0,200,0,0,,6,56,144,0,,16,,60,16,0,16,0,10,0,0,0,0
"[0, 1, 1, 2, 2, 5]",104,21,18,49,6,0,78,0,130,0,0,,6,58,72,0,,8,,51,8,12,8,6,12,0,0,12,0
"[0, 1, 1, 2, 3, 3]",136,20,20,44,0,0,72,0,200,0,0,,6,56,144,0,,16,,60,16,0,16,0,10,0,0,0,0
"[0, 1, 1, 2, 3, 4]",100,24,18,44,0,0,60,0,140,0,12,,6,44,96,0,,28,,48,28,0,16,0,12,0,0,0,0
"[0, 1, 1, 2, 3, 5]",72,25,16,45,6,1,59,0,85,2,6,,6,37,48,0,,24,,39,23,6,16,6,14,0,0,8,0
"[0, 1, 1, 2, 4, 4]",64,28,16,44,0,0,48,0,80,0,24,,6,32,48,0,,40,,36,40,0,16,0,14,0,0,0,0
"[0, 1, 1, 2, 4, 5]",40,29,14,41,6,2,40,0,40,4,12,,6,16,24,0,,40,,27,38,0,24,6,16,0,0,4,0
"[0, 1, 1, 3, 3, 3]",96,24,18,48,0,0,72,0,120,0,0,,6,48,72,0,,24,,48,24,0,24,0,12,0,0,0,0
"[0, 1, 1, 3, 3, 4]",64,28,16,44,0,0,48,0,80,0,24,,6,32,48,0,,40,,36,40,0,16,0,14,0,0,0,0
"[0, 1, 1, 3, 3, 5]",48,26,14,42,12,2,46,0,50,4,12,,6,26,24,0,,24,,30,22,12,8,12,16,0,0,16,0
"[0, 1, 1, 3, 4, 4]",32,32,14,40,0,0,24,0,40,0,48,,6,16,24,0,,56,,24,56,0,8,0,16,0,0,0,0
"[0, 1, 1, 3, 4, 5]",20,30,12,34,12,4,20,0,20,8,24,,6,8,12,0,,44,,18,40,0,12,12,18,0,0,8,0
"[0, 1, 2, 2, 2, 2]",168,16,22,48,0,0,96,0,240,0,0,,6,96,144,0,,0,,72,0,0,0,0,8,0,0,0,0
"[0, 1, 2, 2, 2, 3]",132,20,20,48,0,0,84,0,180,0,0,,6,72,108,0,,12,,60,12,0,12,0,10,0,0,0,0
"[0, 1, 2, 2, 2, 4]",104,21,18,49,6,0,78,0,130,0,0,,6,58,72,0,,8,,51,8,12,8,6,12,0,0,12,0
"[0, 1, 2, 2, 2, 5]",76,22,16,50,12,0,72,0,80,0,0,,6,44,36,0,,4,,42,4,24,4,12,14,0,0,24,0
"[0, 1, 2, 2, 3, 3]",96,24,18,48,0,0,72,0,120,0,0,,6,48,72,0,,24,,48,24,0,24,0,12,0,0,0,0
"[0, 1, 2, 2, 3, 4]",72,25,16,45,6,1,59,0,85,2,6,,6,37,48,0,,24,,39,23,6,16,6,14,0,0,8,0
"[0, 1, 2, 2, 3, 5]",48,26,14,42,12,2,46,0,50,4,12,,6,26,24,0,,24,,30,22,12,8,12,16,0,0,16,0
"[0, 1, 2, 2, 4, 4]",48,26,14,42,12,2,46,0,50,4,12,,6,26,24,0,,24,,30,22,12,8,12,16,0,0,16,0
"[0, 1, 2, 2, 4, 5]",28,27,12,35,18,5,31,0,25,10,6,,6,13,12,0,,28,,21,23,6,12,18,18,0,0,16,0
"[0, 1, 2, 3, 3, 3]",60,28,16,48,0,0,60,0,60,0,0,,6,24,36,0,,36,,36,36,0,36,0,14,0,0,0,0
"[0, 1, 2, 3, 3, 4]",40,29,14,41,6,2,40,0,40,4,12,,6,16,24,0,,40,,27,38,0,24,6,16,0,0,4,0
"[0, 1, 2, 3, 3, 5]",28,27,12,35,18,5,31,0,25,10,6,,6,13,12,0,,28,,21,23,6,12,18,18,0,0,16,0
"[0, 1, 2, 3, 4, 4]",20,30,12,34,12,4,20,0,20,8,24,,6,8,12,0,,44,,18,40,0,12,12,18,0,0,8,0
"[0, 1, 2, 3, 4, 5]",12,28,10,24,24,4,14,0,10,20,12,,6,4,6,0,,36,,12,26,0,10,24,20,0,0,8,12
